"","fecha_inicial","fecha_final","año_inicial","mes_inicial","dia_inicial","año_final","mes_final","dia_final","pais","ciudad","categoria_principal","categoria","proyecto_featured","descripcion_largo","descripcion_full_largo","titulo_largo","cant_creaciones_dueño","cant_faqs","cant_imagenes","cant_videos","cant_tiers","tier_promedio","tier_max","tier_min","duracion","moneda","objetivo_monto","objetivo_ratio","monto_obtenido","monto_obtenido_porcentaje","estado","exito","cant_actualizaciones","cant_backers","cant_backers_tiers","cant_comentarios","backers_promedio_por_tier","aporte_promedio_por_backer","title","cotizacion","moneda_igual_pais","dia_semana_inicial","dia_semana_final","weekend_inicial","weekend_final","primera_quincena_inicial","primera_quincena_final","id"
"3897",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Joplin","Technology","Technology","0",92,2903,43,1,0,2,1,5,51,90,5,30,"USD",45000,1500,1356,0.0301,"Funding Unsuccessful","fail",0,34,33,2,6.6,39.88,"The Slightly Rednecked Automatic Coop Light",1,1,"martes","jueves",0,0,0,0,3914
"3898",2019-04-02,2019-04-24,2019,4,2,2019,4,24,"United Kingdom","Dorchester","Film & Video","Drama","0",21,1788,39,1,0,9,0,8,50.0466875,131.27,6.5635,22,"GBP",656.35,39.1632111363636,723.2977,1.102,"Funding Successful","success",1,22,16,0,2,25.05,"One Afternoon in the Woods - Short Film",1.3127,1,"martes","miércoles",0,0,1,0,3915
"3899",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United States","Charlotte","Fashion","Accessories","0",121,1484,13,1,0,17,0,14,56.1428571428571,105,5,30,"USD",350,11.6666666666667,1660,4.7429,"Funding Successful","success",9,49,48,13,3,33.88,"Rococoballs 2",1,1,"martes","jueves",0,0,0,0,3916
"3900",2019-03-26,2019-04-24,2019,3,26,2019,4,24,"United States","Agawam","Games","Playing Cards","0",114,7879,59,1,0,12,0,13,69,168,11,29,"USD",8000,275.862068965517,15292,1.9115,"Funding Successful","success",5,363,360,41,27.69,42.13,"Jetsetter Playing Cards: Premier Edition in Jetsetter Green",1,1,"martes","miércoles",0,0,0,0,3917
"3901",2019-03-19,2019-04-25,2019,3,19,2019,4,25,"Italy","Rome","Photography","Places","0",135,1896,60,1,7,1,0,14,348.413271428571,1703.1375,1.135425,37,"EUR",5677.125,174.214855489865,171.449175,0.0302,"Funding Unsuccessful","fail",0,2,1,0,0.07,75.5,"Follow the Sun: Psy-roadtrip catching lighthouses and dreams",1.135425,1,"martes","jueves",0,0,0,0,3918
"3902",2019-04-16,2019-04-23,2019,4,16,2019,4,23,"Canada","Calgary","Games","Games","0",125,1553,55,1,0,9,0,5,15.4,30,5,7,"USD",500,71.4285714285714,2466,4.932,"Funding Successful","success",4,96,95,7,19,25.69,"SideQuests Vol. I & II: 10 Adventure Modules For 5E DnD",1,0,"martes","martes",0,0,0,0,3919
"3903",2019-02-22,2019-04-23,2019,2,22,2019,4,23,"United States","Catskill","Art","Illustration","1",113,2771,14,1,0,30,1,8,141.25,550,15,60,"USD",5000,83.3333333333333,6421,1.2842,"Funding Successful","success",6,66,62,5,7.75,97.29,"The Solar Deck",1,1,"viernes","martes",0,0,0,0,3920
"3904",2019-03-25,2019-04-23,2019,3,25,2019,4,23,"Mexico","Mérida","Crafts","Embroidery","0",98,609,59,1,0,1,0,1,10.5117,10.5117,10.5117,29,"MXN",2890.7175,5.23902674909483,27.8034465,0.0096,"Funding Unsuccessful","fail",0,3,1,0,1,176.33,"Archivo histórico de artesanías hechas por manos Mexicanas.",0.0525585,1,"lunes","martes",0,0,0,0,3921
"3905",2019-04-05,2019-04-25,2019,4,5,2019,4,25,"United States","Pomona","Crafts","DIY","0",49,712,26,1,0,1,0,8,48.625,77,12,20,"USD",2100,105,1494,0.7114,"Funding Unsuccessful","fail",0,48,46,0,5.75,31.12,"My Boba Heroes Enamel Pins",1,1,"viernes","jueves",0,0,1,0,3922
"3906",2019-03-26,2019-04-25,2019,3,26,2019,4,25,"United Kingdom","Cambridge","Design","Product Design","0",51,6090,36,1,6,11,1,4,356.33975,461.029,262.879,30,"GBP",43593,1919.5451,71570.459,1.6418,"Funding Successful","success",7,216,203,117,50.75,250.83,"9Barista: Perfect Stove Top Espresso",1.321,1,"martes","jueves",0,0,0,0,3923
